"Key"	"English"	"Japanese"	"French"	"Spanish"	"German"	"Italian"
"pokeball.100_description"	"100 standard Poké Balls to catch wild Pokémon!"	"野生のポケモンを捕まえるために必要なモンスターボール100個入り。"	"100 Poké Balls standard pour attraper des Pokémon sauvages."	"¡100 Poké Balls con las que capturar Pokémon salvajes!"	"100 reguläre Pokébälle zum Fangen wilder Pokémon!"	"100 Poké Ball normali da usare per catturare Pokémon!"
"pokeball.200_title"	"200 Poké Balls"	"モンスター ボール x200"	"200 Poké Balls"	"200 Poké Balls"	"200 Pokébälle"	"Poké Ball x200"
"pokeball.200_description"	"200 standard Poké Balls to catch wild Pokémon!"	"野生のポケモンを捕まえるために必要なモンスターボール200個入り。"	"200 Poké Balls standard pour attraper des Pokémon sauvages."	"¡200 Poké Balls con las que capturar Pokémon salvajes!"	"200 reguläre Pokébälle zum Fangen wilder Pokémon!"	"200 Poké Ball normali da usare per catturare Pokémon!"
"pokemonstorageupgrade.1_title"	"Pokémon Storage Upgrade"	"ポケモンボックス アップグレード"	"Extension du stockage de Pokémon"	"Aumento de espacio (Pokémon)"	"Pokémon-Aufbewahrung-Plus"	"Ampliamento Spazio Pokémon"
"pokemonstorageupgrade.1_description"	"Increases the max number of Pokémon you can carry by {0}."	"持てるポケモンの上限を{0}増やします。"	"Augmente de {0} le nombre de Pokémon que tu peux porter."	"Amplía el límite de almacenamiento de Pokémon en {0}."	"Erhöht das Aufbewahrungslimit um {0}."	"Aumenta lo spazio per i Pokémon di {0}."
"itemstorageupgrade.1_title"	"Bag Upgrade"	"バッグ アップグレード"	"Agrandir le Sac"	"Aumento de espacio (objetos)"	"Beutel-Plus"	"Ampliamento Spazio Borsa"
"itemstorageupgrade.1_description"	"Increases the max number of items you can carry by {0}."	"持てる道具の上限を{0}増やします。"	"Augmente de {0} le nombre d'objets que tu peux porter."	"Amplía el límite de almacenamiento de objetos en {0}."	"Erhöht den Speicherplatz für Items um {0}."	"Aumenta lo spazio per gli strumenti di {0}."
"item_lucky_egg_name"	"Lucky Egg"	"しあわせタマゴ"	"Œuf Chance"	"Huevo Suerte"	"Glücks-Ei"	"Fortunuovo"
"item_lucky_egg_desc"	"A Lucky Egg that's filled with happiness! Earns double XP for 30 minutes."	"しあわせがつまったタマゴ。使うと、30分間もらえるXPが2倍になります。"	"Un œuf rempli de bonheur. Gagne 2 fois plus de PX pendant 30 minutes."	"Es un huevo lleno de felicidad que te hace ganar el doble de PX durante 30 minutos."	"Ein Ei, das mit Glück gefüllt ist. Der Spieler erhält 30 Minuten lang doppelt so viele EP."	"Uovo pieno di felicità. Fa guadagnare al giocatore il doppio dei PE per 30 minuti. "
"luckyegg.1_title"	"Lucky Egg"	"しあわせ タマゴ"	"Œuf Chance"	"Huevo Suerte"	"Glücks-Ei"	"Fortunuovo"
"luckyegg.1_description"	"A Lucky Egg that's filled with happiness! Earns double XP for 30 minutes."	"しあわせがつまったタマゴ。使うと、30分間もらえるXPが2倍になります。"	"Un œuf rempli de bonheur. Gagne 2 fois plus de PX pendant 30 minutes."	"Es un huevo lleno de felicidad que te hace ganar el doble de PX durante 30 minutos."	"Ein Ei, das mit Glück gefüllt ist. Der Spieler erhält 30 Minuten lang doppelt so viele EP."	"Uovo pieno di felicità. Fa guadagnare al giocatore il doppio dei PE per 30 minuti. "
"luckyegg.5_title"	"5 Lucky Eggs"	"しあわせ タマゴ x5"	"5 Œufs Chance"	"5 Huevos Suerte"	"5 Glücks-Eier"	"Fortunuovo x5"
"luckyegg.5_description"	"5 Lucky Eggs filled with happiness! Earns double XP for 30 minutes."	"しあわせがつまったタマゴ。使うと、30分間もらえるXPが2倍になります。お得な5個入り。"	"5 œufs remplis de bonheur. Gagne 2 fois plus de PX pendant 30 minutes."	"5 Huevos llenos de felicidad que te hacen ganar el doble de PX durante 30 minutos."	"Eier, die mit Glück gefüllt sind. Für jedes Ei erhält der Spieler 30 Minuten lang doppelt so viele EP."	"Cinque uova piene di felicità. Fanno guadagnare al giocatore il doppio dei PE per 30 minuti. "
"luckyegg.8_title"	"8 Lucky Eggs"	"しあわせ タマゴ x8"	"8 Œufs Chance"	"8 Huevos Suerte"	"8 Glücks-Eier"	"Fortunuovo x8"
"luckyegg.8_description"	"8 Lucky Eggs filled with happiness! Earns double XP for 30 minutes."	"しあわせがつまったタマゴ。使うと、30分間もらえるXPが2倍になります。お得な8個入り。"	"8 œufs remplis de bonheur. Gagne 2 fois plus de PX pendant 30 minutes."	"8 Huevos llenos de felicidad que te hacen ganar el doble de PX durante 30 minutos."	"Eier, die mit Glück gefüllt sind. Für jedes Ei erhält der Spieler 30 Minuten lang doppelt so viele EP."	"Otto uova piene di felicità. Fanno guadagnare al giocatore il doppio dei PE per 30 minuti. "
"luckyegg.25_title"	"25 Lucky Eggs"	"しあわせ タマゴ x25"	"25 Œufs Chance"	"25 Huevos Suerte"	"25 Glücks-Eier"	"Fortunuovo x25"
"luckyegg.25_description"	"25 Lucky Eggs filled with happiness! Earns double XP for 30 minutes."	"しあわせがつまったタマゴ。使うと、30分間もらえるXPが2倍になります。お得な25個入り。"	"25 œufs remplis de bonheur. Gagne 2 fois plus de PX pendant 30 minutes."	"25 Huevos llenos de felicidad que te hacen ganar el doble de PX durante 30 minutos."	"Eier, die mit Glück gefüllt sind. Für jedes Ei erhält der Spieler 30 Minuten lang doppelt so viele EP."	"25 uova piene di felicità. Fanno guadagnare al giocatore il doppio dei PE per 30 minuti. "
"item_incense_ordinary_name"	"Incense"	"おこう"	"Encens"	"Incienso"	"Rauch"	"Aroma"
"item_incense_ordinary_desc"	"Incense with a mysterious fragrance that lures wild Pokémon to your location for 30 minutes."	"不思議な香りのおこう。30分香りを出し野生のポケモンを呼び寄せます。"	"Une senteur qui attire les Pokémon sauvages vers toi pendant 30 minutes."	"Incienso con una fragancia misteriosa que atrae a los Pokémon salvajes hacia donde estás durante 30 minutos."	"Ein wohlriechender Rauch, der 30 Minuten lang wilde Pokémon zu dir lockt."	"Un intenso profumo che attrae i Pokémon selvatici per 30 minuti."
"incenseordinary.1_title"	"Incense"	"おこう"	"Encens"	"Incienso"	"Rauch"	"Aroma"
"incenseordinary.1_description"	"Incense with a mysterious fragrance that lures wild Pokémon to your location for 30 minutes."	"不思議な香りのおこう。30分香りを出し野生のポケモンを呼び寄せます。"	"Une senteur qui attire les Pokémon sauvages vers toi pendant 30 minutes."	"Incienso con una fragancia misteriosa que atrae a los Pokémon salvajes hacia donde estás durante 30 minutos."	"Ein wohlriechender Rauch, der 30 Minuten lang wilde Pokémon zu dir lockt."	"Un intenso profumo che attrae i Pokémon selvatici per 30 minuti."
"incenseordinary.8_title"	"8 Incense"	"おこう x8"	"8 Encens"	"8 Inciensos"	"8 × Rauch"	"Aroma x8"
"incenseordinary.8_description"	"8 Incense. The mysterious fragrance lures wild Pokémon to your location for 30 minutes."	"不思議な香りのおこう。30分香りを出し野生のポケモンを呼び寄せます。お得な8個入り。"	"8 Encens. Une senteur qui attire les Pokémon sauvages vers toi pendant 30 minutes."	"8 Inciensos. La misteriosa fragancia atrae a los Pokémon salvajes hacia donde estás durante 30 minutos."	"Jeder wohlriechende Rauch lockt 30 Minuten lang wilde Pokémon zu dir."	"8 aromi. Emanano un intenso profumo che attrae i Pokémon selvatici per 30 minuti."
"incenseordinary.25_title"	"25 Incense"	"おこう x25"	"25 Encens"	"25 Inciensos"	"25 × Rauch"	"Aroma x25"
"incenseordinary.25_description"	"25 Incense. The mysterious fragrance lures wild Pokémon to your location for 30 minutes."	"不思議な香りのおこう。30分香りを出し野生のポケモンを呼び寄せます。お得な25個入り。"	"25 Encens. Une senteur qui attire les Pokémon sauvages vers toi pendant 30 minutes."	"25 Inciensos. La misteriosa fragancia atrae a los Pokémon salvajes hacia donde estás durante 30 minutos."	"Jeder wohlriechende Rauch lockt 30 Minuten lang wilde Pokémon zu dir."	"25 aromi. Emanano un intenso profumo che attrae i Pokémon selvatici per 30 minuti."
"incubatorbasic.1_title"	"Egg Incubator"	"ふかそうち"	"Incubateur"	"Incubadora"	"Ei-Brutmaschine"	"Incubatrice Uova"
"incubatorbasic.1_description"	"A device that incubates an Egg as you walk until it is ready to hatch. Breaks after 3 uses."	"タマゴを入れて歩くと、ポケモンがかえります。3回使うと壊れます。"	"Ceci incube un œuf quand tu marches, jusqu'à ce qu'il soit prêt à éclore. Il se casse après 3 utilisations."	"Un aparato en el que se incuba un Huevo que eclosionará después de una cierta distancia. Se puede usar 3 veces."	"Eine Maschine, die ein Ei ausbrütet, bis es beim Herumlaufen schlüpft. Nach 3 Einsätzen geht sie kaputt.    "	"Un dispositivo per mettere le Uova in incubazione mentre copri la distanza necessaria a farle schiudere. Si può usare tre volte."
"item_incubator_basic_name"	"Egg Incubator"	"ふかそうち"	"Incubateur"	"Incubadora"	"Ei-Brutmaschine"	"Incubatrice Uova"
"item_incubator_basic_desc"	"A device that incubates an Egg as you walk until it is ready to hatch. Breaks after 3 uses."	"タマゴを入れて歩くと、ポケモンがかえります。3回使うと壊れます。"	"Ceci incube un œuf quand tu marches, jusqu'à ce qu'il soit prêt à éclore. Il se casse après 3 utilisations."	"Un aparato en el que se incuba un Huevo que eclosionará después de una cierta distancia. Se puede usar 3 veces."	"Eine Maschine, die ein Ei ausbrütet, bis es beim Herumlaufen schlüpft. Nach 3 Einsätzen geht sie kaputt.    "	"Un dispositivo per mettere le Uova in incubazione mentre copri la distanza necessaria a farle schiudere. Si può usare tre volte."
"item_incubator_basic_unlimited_name"	"Egg Incubator ∞"	"ムゲンふかそうち"	"Incubateur ∞"	"Incubadora ∞"	"Ei-Brutmaschine ∞"	"Incubatrice Uova ∞"
"item_incubator_basic_unlimited_desc"	"A device that incubates an Egg as you walk until it is ready to hatch. Unlimited use!"	"タマゴを入れて歩くと、ポケモンがかえります。"	"Ceci incube un œuf quand tu marches, jusqu'à ce qu'il soit prêt à éclore. Usage illimité."	"Un aparato en el que se incuba un Huevo que eclosionará cuando recorras una cierta distancia. ¡Uso ilimitado!"	"Eine Maschine, die ein Ei ausbrütet, bis es beim Herumlaufen schlüpft. Unbegrenzt einsetzbar!"	"Un dispositivo per mettere le Uova in incubazione mentre copri la distanza necessaria a farle schiudere. Si può usare un numero infinito di volte."
"pokecoin.1000_title"	"1,000 PokéCoins for test only"	"ポケコイン1,000個 （テスト期間中のみ）"	"1 000 PokéPièces pour test uniquement"	"1000 Pokémonedas solo para pruebas"	"1.000 PokéMünzen, ausschließlich zum Testen"	"Pokémonete x1000 (per il testing)"
"pokecoin.1000_description"	""	""	""	""	""	""
"pokecoin.100_title"	"100 PokéCoins"	"100 ポケコイン"	"100 PokéPièces"	"100 Pokémonedas"	"100 PokéMünzen"	"Pokémonete x100"
"pokecoin.100_description"	""	""	""	""	""	""
"pokecoin.550_title"	"550 PokéCoins"	"550 ポケコイン"	"550 PokéPièces"	"550 Pokémonedas"	"550 PokéMünzen"	"Pokémonete x550"
"pokecoin.550_description"	""	""	""	""	""	""
"pokecoin.1200_title"	"1,200 PokéCoins"	"1,200 ポケコイン"	"1 200 PokéPièces"	"1200 Pokémonedas"	"1.200 PokéMünzen"	"Pokémonete x1200"
"pokecoin.1200_description"	""	""	""	""	""	""
"pokecoin.2500_title"	"2,500 PokéCoins"	"2,500 ポケコイン"	"2 500 PokéPièces"	"2500 Pokémonedas"	"2.500 PokéMünzen"	"Pokémonete x2500"
"pokecoin.2500_description"	""	""	""	""	""	""
"pokecoin.5200_title"	"5,200 PokéCoins"	"5,200 ポケコイン"	"5 200 PokéPièces"	"5200 Pokémonedas"	"5.200 PokéMünzen"	"Pokémonete x5200"
"pokecoin.5200_description"	""	""	""	""	""	""
"pokecoin.14500_title"	"14,500 PokéCoins"	"14,500 ポケコイン"	"14 500 PokéPièces"	"14 500 Pokémonedas"	"14.500 PokéMünzen"	"Pokémonete x14.500"
"pokecoin.14500_description"	""	""	""	""	""	""
"item_troy_disk_name"	"Lure Module"	"ルアーモジュール"	"Module Leurre"	"Módulo Cebo"	"Lockmodul"	"Modulo esca"
"item_troy_disk_desc"	"A module that attracts Pokémon to a PokéStop for 30 min. The effect benefits other people nearby."	"ポケストップへ使うと、30分間ポケモンを引き寄せます。周りの人たちも効果を受けられます。"	"Attire les Pokémon dans un PokéStop pendant 30 minutes. D’autres joueurs peuvent en profiter."	"Atrae Pokémon a una Poképarada durante 30 min. Otra gente que esté cerca puede beneficiarse."	"Es lockt 30 Minuten lang Pokémon zu einem PokéStop. Spieler in der Nähe profitieren auch."	"Attira i Pokémon per 30 minuti verso un Pokéstop. Chiunque si trovi nei dintorni ne trarrà lo stesso beneficio."
"troydisk.1_title"	"Lure Module"	"ルアーモジュール"	"Module Leurre"	"Módulo Cebo"	"Lockmodul"	"Modulo esca"
"troydisk.1_description"	"Modules that attracts Pokémon to a PokéStop for 30 min. The effect benefits other people nearby."	"ポケストップへ使うと、30分間そこにポケモンを引き寄せます。周りの人たちも効果を得られます。"	"Attire les Pokémon dans un PokéStop pendant 30 minutes. D’autres joueurs peuvent en profiter."	"Atrae Pokémon a una Poképarada durante 30 min. Otra gente que esté cerca puede beneficiarse."	"Es lockt 30 Minuten lang Pokémon zu einem PokéStop. Spieler in der Nähe profitieren auch."	"Attira i Pokémon per 30 minuti verso un Pokéstop. Ha effetto anche su tutti i giocatori nei dintorni."
"troydisk.8_title"	"8 Lure Modules"	"ルアーモジュール x8"	"8 Modules Leurre"	"8 Módulos Cebo"	"8 Lockmodule"	"Modulo esca x8"
"troydisk.8_description"	"8 Lure Modules. Modules that attracts Pokémon to a PokéStop for 30 min. The effect benefits other people nearby."	"ポケストップへ使うと、30分間そこにポケモンを引き寄せます。周りの人たちも効果を得られます。お得な8個入り。"	"8 Modules Leurre. Ces modules attirent les Pokémon dans un PokéStop pendant 30 minutes. D’autres joueurs peuvent en profiter."	"Atrae Pokémon a una Poképarada durante 30 min. Otra gente que esté cerca puede beneficiarse."	"Es lockt 30 Minuten lang Pokémon zu einem PokéStop. Spieler in der Nähe profitieren auch."	"8 moduli esca. Attirano i Pokémon per 30 minuti verso un Pokéstop. Hanno effetto anche su tutti i giocatori nei dintorni."
